claim_amount,claimant_age,claim_duration_days,claimant_gender,county,policy_deductable,policy_annual_premium,bodily_injuries,witnesses,incident_hour_of_the_day,incident_severity,police_report_available,insured_education_level,insured_occupation,is_fraudulent,incident_type,reserve_amount
100000,21,116,male,Uasin Gishu,50000,7000,0,2,0,minor,yes,bachelors,sales,0,flood,141300
107200,30,64,male,Turkana,20000,9500,0,2,5,minor,yes,high_school,farmer,0,fire,138500
100000,21,101,male,Nairobi,5000,9500,0,3,1,total_loss,yes,bachelors,manual_labor,0,fire,157100
100000,64,65,female,Mombasa,20000,9000,1,0,11,total_loss,yes,bachelors,tech,0,flood,208700
167100,29,131,female,Nairobi,5000,16000,0,1,13,major,yes,masters,sales,0,fire,240900
242200,45,51,male,Uasin Gishu,10000,23000,0,2,1,total_loss,yes,high_school,farmer,0,theft,538900
100000,28,58,female,Kilifi,10000,9500,0,0,9,major,yes,high_school,manual_labor,0,theft,161700
100000,68,84,male,Kisumu,5000,9500,0,2,1,minor,yes,high_school,tech,0,theft,106600
107000,39,153,female,Nairobi,50000,7500,1,1,6,minor,no,masters,manual_labor,0,fire,146000
100000,33,16,other,Mombasa,10000,9500,0,1,10,total_loss,no,bachelors,sales,0,theft,181200
146600,60,33,female,Nairobi,10000,14000,2,3,4,minor,yes,bachelors,sales,0,flood,218400
100000,54,122,male,Nairobi,10000,9500,2,0,12,minor,yes,high_school,tech,0,flood,155500
148700,32,121,female,Mombasa,50000,10500,0,2,12,minor,no,masters,tech,0,flood,190500
100000,35,65,other,Meru,20000,9000,2,3,10,minor,yes,bachelors,tech,0,theft,155000
100000,26,118,male,Nairobi,20000,9000,0,2,11,total_loss,yes,bachelors,sales,0,flood,213200
166100,41,99,female,Nairobi,50000,11500,0,3,3,major,no,masters,sales,0,fire,246100
160900,46,147,other,Kiambu,5000,15500,0,1,4,major,?,bachelors,sales,0,theft,233600
100000,22,18,other,Uasin Gishu,5000,9500,0,2,13,minor,yes,bachelors,sales,0,fire,144700
123600,49,169,male,Nakuru,5000,12000,0,2,22,minor,no,bachelors,farmer,0,fire,163900
114900,34,152,other,Nairobi,5000,11000,0,1,8,minor,no,high_school,sales,0,fire,168900
176000,27,56,male,Uasin Gishu,10000,16500,0,3,19,major,no,masters,tech,0,flood,290300
100000,69,176,male,Nairobi,50000,7000,1,2,19,major,yes,high_school,farmer,0,fire,132800
100000,23,165,male,Mombasa,50000,7000,1,1,14,total_loss,yes,masters,farmer,0,flood,188700
100000,49,62,male,Nakuru,20000,9000,1,3,16,minor,yes,high_school,manual_labor,0,theft,137100
104100,48,89,female,Kiambu,50000,7500,0,2,18,minor,yes,high_school,manual_labor,0,fire,152000
100000,28,109,other,Mombasa,50000,7000,0,1,15,minor,yes,high_school,sales,0,flood,135100
100000,64,11,male,Mombasa,10000,9500,0,2,1,minor,yes,masters,sales,0,theft,121600
167300,64,43,female,Nairobi,10000,15500,0,1,6,minor,yes,high_school,farmer,0,theft,231200
100000,26,84,male,Kisii,5000,9500,0,0,16,major,no,masters,farmer,0,theft,159100
100000,63,171,female,Nairobi,20000,9000,0,1,22,minor,yes,bachelors,farmer,0,theft,104400
221800,45,161,male,Nyeri,20000,19500,0,0,1,minor,no,high_school,sales,0,theft,227400
268000,66,36,male,Kisii,10000,25000,0,2,9,minor,no,bachelors,sales,0,flood,313200
100000,63,27,male,Kiambu,20000,9000,1,0,2,major,yes,masters,tech,0,flood,163300
100000,25,179,female,Mombasa,10000,9500,1,2,0,total_loss,yes,bachelors,tech,0,theft,213900
120300,67,138,female,Kisumu,50000,8500,0,0,11,total_loss,yes,high_school,sales,0,theft,207800
100000,35,56,female,Nairobi,50000,7000,0,3,22,major,yes,high_school,tech,0,fire,131400
100000,48,169,female,Mombasa,20000,9000,1,1,15,minor,yes,masters,farmer,0,theft,135600
113800,36,33,female,Nairobi,50000,8000,1,2,20,minor,yes,bachelors,farmer,0,fire,186900
100000,40,38,female,Uasin Gishu,50000,7000,1,3,18,minor,yes,bachelors,farmer,0,theft,116000
237500,57,98,male,Nairobi,5000,23000,0,1,14,minor,yes,bachelors,farmer,0,fire,267600
100000,68,100,female,Kilifi,20000,9000,1,2,18,minor,yes,high_school,sales,0,flood,144900
106100,63,111,female,Kisumu,20000,9500,0,2,18,major,no,bachelors,tech,0,theft,128800
118800,24,123,other,Kisii,50000,8500,1,1,18,major,yes,high_school,farmer,0,flood,199600
100000,30,57,female,Uasin Gishu,10000,9500,2,1,9,minor,yes,high_school,farmer,0,flood,126000
100000,48,177,male,Machakos,5000,9500,0,2,0,major,yes,bachelors,tech,0,flood,137900
100000,67,90,male,Nairobi,10000,9500,0,2,0,total_loss,yes,high_school,tech,0,theft,159400
100000,68,168,female,Nairobi,50000,7000,0,1,23,major,yes,masters,sales,0,theft,138800
100000,44,90,male,Turkana,5000,9500,1,2,4,minor,no,high_school,farmer,0,fire,148600
153500,39,122,male,Kiambu,50000,10500,0,2,12,minor,yes,masters,manual_labor,0,flood,220000
129900,20,21,male,Nairobi,50000,11000,0,1,2,total_loss,no,bachelors,sales,1,fire,333600
147100,40,139,male,Mombasa,10000,14000,1,0,6,minor,yes,high_school,tech,0,fire,214900
117100,48,90,female,Meru,50000,8000,2,2,4,minor,yes,high_school,manual_labor,0,fire,190800
100000,23,172,male,Bungoma,20000,9000,2,0,7,minor,yes,masters,manual_labor,0,theft,168500
100000,36,177,male,Kilifi,20000,9000,0,1,0,total_loss,no,bachelors,farmer,0,theft,157900
100000,24,33,male,Bungoma,5000,9500,0,0,1,minor,yes,bachelors,farmer,0,flood,127700
146900,35,168,other,Uasin Gishu,50000,10500,1,0,6,minor,yes,high_school,sales,0,flood,191300
121500,32,159,male,Machakos,10000,11500,0,2,23,major,no,bachelors,tech,0,theft,162900
100000,51,167,male,Nairobi,5000,9500,0,1,9,major,no,high_school,manual_labor,0,fire,174200
100000,27,40,male,Nairobi,20000,9000,0,1,10,major,no,masters,farmer,0,flood,132600
140100,64,163,female,Nakuru,5000,13500,2,2,7,minor,no,high_school,sales,0,fire,246600
100000,31,12,male,Nakuru,5000,9500,0,0,1,major,no,high_school,farmer,0,fire,166800
100000,34,65,male,Nairobi,5000,9500,0,2,3,minor,yes,high_school,farmer,0,theft,138600
103400,42,114,male,Nairobi,10000,9500,1,1,13,minor,yes,high_school,tech,0,flood,114200
100000,49,170,male,Kiambu,20000,9000,0,3,12,major,yes,high_school,manual_labor,0,theft,134800
228300,62,95,male,Nyeri,5000,22000,1,3,20,major,yes,masters,tech,0,theft,337300
117800,31,141,male,Mombasa,10000,11000,0,1,15,minor,no,high_school,manual_labor,0,flood,133100
136800,69,55,male,Machakos,50000,9500,1,3,1,minor,yes,bachelors,sales,0,fire,204600
100600,35,167,female,Nairobi,50000,7000,1,0,12,minor,yes,bachelors,farmer,0,fire,121000
100000,37,164,other,Meru,50000,7000,0,2,1,major,yes,bachelors,manual_labor,0,fire,178300
100000,60,109,other,Kakamega,20000,9000,1,2,4,major,yes,bachelors,farmer,0,theft,166200
100000,31,102,female,Meru,5000,9500,0,2,15,minor,yes,masters,sales,0,flood,127200
100000,67,26,female,Nairobi,20000,9000,1,2,8,total_loss,yes,masters,tech,0,flood,202000
100000,30,167,other,Kisumu,20000,9000,0,3,14,major,yes,high_school,manual_labor,0,fire,158300
100000,65,178,female,Kisumu,20000,9000,1,2,12,major,yes,bachelors,manual_labor,0,theft,161600
100000,57,153,female,Kiambu,20000,9000,2,2,4,major,yes,bachelors,manual_labor,0,theft,201800
121100,24,57,female,Bungoma,10000,11500,1,2,14,minor,yes,bachelors,manual_labor,0,theft,133900
117800,30,103,male,Kisumu,10000,11000,0,3,5,major,no,masters,sales,0,flood,207000
100000,28,28,female,Bungoma,5000,9500,0,0,21,major,no,masters,tech,0,theft,152400
100000,67,41,other,Turkana,10000,9500,0,2,2,minor,no,masters,manual_labor,0,theft,102900
100000,55,75,male,Nairobi,50000,7000,1,3,8,major,yes,high_school,sales,0,fire,148900
100000,24,129,male,Mombasa,10000,9500,1,1,1,minor,yes,masters,farmer,0,theft,162100
100000,54,77,female,Uasin Gishu,50000,7000,2,2,12,major,yes,high_school,sales,0,fire,164900
186900,60,112,male,Mombasa,50000,13000,1,1,8,major,yes,masters,tech,0,theft,248600
124400,30,25,male,Mombasa,50000,10500,0,1,2,major,?,high_school,sales,1,fire,304000
100000,62,50,female,Nairobi,20000,9000,0,1,8,total_loss,yes,bachelors,manual_labor,0,theft,189600
100000,58,22,female,Nakuru,20000,9000,0,2,3,major,no,bachelors,farmer,0,theft,123100
100000,38,123,male,Bungoma,10000,9500,0,2,12,minor,yes,bachelors,sales,0,flood,134900
100000,25,76,male,Kisumu,5000,9500,0,2,22,minor,yes,bachelors,manual_labor,0,fire,134500
160600,39,28,male,Kiambu,10000,18000,0,1,23,major,no,high_school,sales,1,theft,388800
123600,53,161,female,Nairobi,10000,11500,0,2,13,minor,no,high_school,manual_labor,0,flood,130300
100000,65,76,male,Nairobi,5000,9500,0,3,18,minor,no,masters,farmer,0,fire,135600
100000,27,122,female,Kakamega,50000,7000,0,2,0,minor,yes,bachelors,sales,0,fire,109300
104000,67,88,male,Nairobi,20000,9000,1,2,19,minor,no,high_school,tech,0,flood,151900
110500,29,165,female,Nakuru,20000,9500,0,0,17,minor,yes,masters,manual_labor,0,flood,117700
100000,25,77,female,Uasin Gishu,5000,9500,1,1,0,minor,yes,high_school,manual_labor,0,flood,154600
100000,18,126,female,Turkana,20000,9000,0,2,20,minor,no,bachelors,farmer,0,flood,125000
106600,45,38,female,Nairobi,10000,10000,0,1,12,minor,yes,bachelors,sales,0,flood,137900
100000,38,94,male,Kiambu,5000,9500,1,0,0,major,yes,masters,manual_labor,0,flood,135300
220000,50,81,male,Kilifi,50000,15500,1,2,10,major,yes,masters,tech,0,flood,401400
100000,52,122,female,Kiambu,5000,9500,1,1,1,minor,yes,masters,sales,0,theft,132900
100000,53,21,other,Uasin Gishu,5000,9500,1,2,19,minor,yes,bachelors,sales,0,fire,149400
100000,20,16,male,Nairobi,20000,9000,1,3,17,major,yes,high_school,sales,0,flood,132800
100000,52,11,male,Machakos,5000,9500,1,2,20,major,yes,masters,tech,0,flood,136400
141700,32,13,female,Nairobi,50000,12000,0,1,0,major,no,high_school,farmer,1,theft,309400
100000,59,101,female,Eldoret,10000,9500,2,3,11,minor,yes,high_school,farmer,0,flood,166900
121100,45,41,female,Nairobi,20000,10500,1,0,19,minor,?,masters,farmer,0,fire,182300
103200,27,26,female,Kisumu,10000,9500,1,1,11,minor,yes,bachelors,sales,0,theft,150700
208100,24,134,other,Kiambu,10000,19500,0,3,2,minor,yes,bachelors,farmer,0,flood,240700
112800,24,89,male,Kakamega,50000,8000,0,1,4,major,yes,high_school,farmer,0,fire,150600
100000,52,179,male,Kiambu,50000,7000,1,1,9,major,no,masters,sales,0,theft,167300
170500,21,107,female,Kisumu,20000,15000,0,1,1,total_loss,?,bachelors,sales,0,theft,293600
157500,38,37,other,Mombasa,20000,14000,0,1,13,major,yes,high_school,farmer,0,fire,228600
100000,53,20,male,Eldoret,5000,9500,2,2,8,total_loss,no,masters,sales,0,fire,268400
100000,58,146,female,Kilifi,5000,9500,0,3,15,major,yes,high_school,farmer,0,fire,129800
129300,24,20,male,Kiambu,10000,14500,1,0,23,total_loss,no,high_school,sales,1,fire,440900
100000,26,148,female,Kiambu,50000,7000,0,3,5,major,no,masters,farmer,0,fire,137300
107500,65,116,male,Uasin Gishu,20000,9500,2,1,13,major,yes,high_school,manual_labor,0,flood,227300
100000,56,82,female,Kiambu,5000,9500,0,2,4,major,yes,high_school,tech,0,theft,132300
259300,66,99,female,Kiambu,50000,18000,0,2,22,minor,no,high_school,manual_labor,0,flood,358100
100000,34,83,male,Mombasa,50000,7000,1,1,11,major,yes,high_school,tech,0,flood,149900
100000,41,22,female,Kisii,10000,9500,0,2,20,minor,yes,masters,tech,0,theft,125300
126800,18,20,female,Nairobi,10000,12000,2,3,9,major,no,masters,sales,0,flood,263800
100000,36,147,male,Kakamega,10000,9500,0,1,10,major,no,high_school,farmer,0,theft,176100
100000,38,43,other,Nakuru,20000,9000,0,3,22,minor,yes,high_school,farmer,0,fire,107700
135500,33,26,female,Kakamega,10000,12500,0,2,20,minor,no,masters,sales,0,fire,141300
100000,35,48,female,Mombasa,10000,9500,0,2,16,major,yes,high_school,sales,0,fire,150800
145800,60,86,male,Mombasa,10000,13500,0,3,12,minor,yes,high_school,farmer,0,theft,186400
141300,59,152,male,Mombasa,5000,13500,0,1,0,major,yes,masters,manual_labor,0,fire,240000
114100,68,115,male,Kakamega,20000,10000,0,1,18,major,yes,high_school,sales,0,fire,157200
100000,62,104,other,Kilifi,5000,9500,0,2,8,total_loss,yes,masters,farmer,0,flood,221100
100700,61,131,female,Kiambu,10000,9500,1,0,23,total_loss,yes,masters,tech,0,fire,212800
100000,65,23,female,Uasin Gishu,10000,9500,0,1,8,major,yes,high_school,manual_labor,0,theft,132200
100000,61,75,male,Kiambu,50000,7000,1,1,1,major,no,high_school,tech,0,theft,184800
285100,34,111,female,Nairobi,20000,25000,0,3,16,minor,?,high_school,sales,0,theft,331200
100000,20,109,female,Kakamega,50000,7000,0,1,16,minor,yes,masters,farmer,0,flood,142600
134200,29,22,male,Uasin Gishu,10000,12500,0,1,3,major,no,masters,manual_labor,0,theft,207300
165200,65,156,female,Kakamega,10000,15500,1,3,9,major,yes,bachelors,tech,0,flood,311700
100000,58,124,female,Bungoma,20000,9000,0,1,6,minor,yes,masters,sales,0,theft,108600
123300,54,158,female,Mombasa,5000,12000,0,3,2,minor,?,high_school,manual_labor,0,fire,135200
116000,44,160,female,Nakuru,5000,11500,1,2,6,minor,yes,masters,farmer,0,fire,168600
100000,46,174,female,Nakuru,10000,9500,1,0,17,minor,yes,bachelors,farmer,0,flood,124900
100000,30,165,female,Nairobi,50000,7000,0,0,20,major,no,high_school,manual_labor,0,fire,138700
100000,30,140,other,Turkana,5000,9500,0,3,15,major,?,high_school,sales,0,flood,130800
100000,68,27,female,Nairobi,5000,9500,1,1,11,minor,yes,bachelors,sales,0,theft,163600
100000,67,134,other,Mombasa,10000,9500,1,0,6,minor,yes,masters,sales,0,theft,127200
161200,58,163,male,Nairobi,5000,15500,1,3,3,minor,yes,masters,farmer,0,theft,209300
332800,48,67,male,Nyeri,20000,29500,0,1,16,major,no,high_school,manual_labor,0,fire,441900
100000,53,87,male,Kiambu,50000,7000,0,2,14,minor,yes,high_school,sales,0,theft,131800
100000,57,153,female,Uasin Gishu,20000,9000,2,3,18,minor,yes,bachelors,sales,0,theft,155500
100000,53,132,male,Kiambu,50000,7000,2,2,21,total_loss,yes,high_school,tech,0,theft,192900
100000,23,116,male,Mombasa,20000,9000,1,2,17,minor,yes,bachelors,tech,0,fire,147400
100000,19,74,female,Nakuru,50000,7000,1,2,22,minor,yes,high_school,sales,0,theft,120100
154100,37,33,female,Uasin Gishu,20000,13500,0,2,15,major,yes,masters,farmer,0,flood,244100
123900,36,102,male,Eldoret,10000,11500,1,1,5,minor,yes,bachelors,manual_labor,0,fire,172500
100000,19,41,female,Nairobi,20000,9000,0,3,6,minor,yes,bachelors,manual_labor,0,theft,108800
100000,40,87,female,Mombasa,10000,9500,1,1,4,minor,yes,masters,sales,0,theft,161700
100000,35,128,female,Nakuru,50000,7000,0,2,23,minor,yes,bachelors,tech,0,flood,106500
100000,31,44,male,Nairobi,50000,7000,2,1,22,major,yes,bachelors,tech,0,flood,209100
107600,36,137,other,Mombasa,10000,10000,1,0,20,major,yes,high_school,tech,0,theft,150200
139300,55,152,male,Nairobi,5000,13500,0,1,0,minor,yes,bachelors,manual_labor,0,theft,177700
104800,43,74,male,Kiambu,50000,7500,1,2,15,minor,no,high_school,tech,0,theft,130000
100000,56,94,other,Nairobi,10000,9500,1,2,2,minor,yes,bachelors,tech,0,flood,147300
100000,66,103,male,Nyeri,5000,9500,0,0,12,minor,yes,high_school,tech,0,flood,115800
126600,29,168,female,Meru,5000,12500,0,3,21,major,yes,bachelors,farmer,0,flood,225500
100000,23,105,male,Nakuru,50000,7000,0,0,19,major,yes,high_school,farmer,0,theft,168600
162000,56,50,male,Nairobi,10000,15000,2,2,10,total_loss,yes,masters,sales,0,theft,437300
109400,68,76,female,Mombasa,20000,9500,2,2,18,minor,yes,high_school,manual_labor,0,theft,131600
230900,30,77,male,Nairobi,10000,21500,0,2,4,minor,yes,masters,manual_labor,0,flood,250100
150500,65,88,male,Nairobi,20000,13000,1,2,10,major,no,high_school,tech,0,fire,203200
100000,42,106,other,Kisii,50000,7000,0,2,23,minor,yes,masters,sales,0,fire,113100
100000,28,115,other,Kiambu,5000,9500,0,1,12,total_loss,yes,masters,sales,0,flood,220400
100000,64,156,male,Turkana,20000,9000,0,3,6,major,yes,masters,tech,0,theft,177300
104200,61,156,female,Kiambu,50000,7500,1,2,5,minor,yes,bachelors,farmer,0,flood,143700
100000,69,27,female,Uasin Gishu,20000,9000,0,3,3,total_loss,yes,high_school,sales,0,fire,176600
100000,35,41,female,Kilifi,50000,7000,1,3,4,major,no,bachelors,farmer,0,fire,178300
100000,52,95,female,Bungoma,50000,7000,2,0,22,minor,yes,masters,tech,0,fire,175900
100000,21,62,female,Nairobi,20000,9000,1,2,13,minor,yes,high_school,farmer,0,theft,146000
142800,23,28,other,Nairobi,20000,15000,0,0,21,major,?,high_school,farmer,1,theft,355600
100000,43,103,male,Nairobi,5000,9500,2,1,19,minor,?,masters,sales,0,theft,166400
100000,22,40,male,Nairobi,5000,9500,2,2,5,total_loss,no,high_school,manual_labor,0,fire,269900
159500,60,50,male,Turkana,10000,15000,0,2,12,minor,yes,masters,farmer,0,theft,203700
100000,25,29,male,Kiambu,50000,7000,0,1,12,minor,yes,bachelors,tech,0,fire,112700
100000,51,88,female,Mombasa,20000,9000,0,2,18,major,yes,masters,sales,0,flood,158900
100000,19,155,female,Mombasa,10000,9500,1,1,1,major,yes,high_school,farmer,0,flood,136500
115100,64,15,other,Mombasa,20000,10000,0,3,11,minor,yes,masters,tech,0,fire,117400
126600,50,116,male,Nairobi,5000,12500,2,3,3,major,yes,high_school,tech,0,fire,212100
184500,33,120,other,Nyeri,10000,17500,0,1,17,total_loss,?,high_school,sales,0,fire,385400
100000,34,87,female,Nairobi,50000,7000,1,1,11,major,yes,high_school,tech,0,theft,165400
155600,50,111,male,Mombasa,50000,11000,0,2,14,minor,?,bachelors,farmer,0,theft,197700
311900,59,96,other,Turkana,50000,22000,0,1,23,minor,no,high_school,farmer,0,flood,380500
106600,49,82,male,Kisii,10000,10000,1,1,3,total_loss,yes,high_school,sales,0,theft,193200
100700,30,63,male,Kisumu,20000,9000,1,0,11,major,yes,masters,sales,0,fire,143000
100000,69,89,male,Nairobi,20000,9000,2,1,12,minor,no,high_school,sales,0,fire,153900
100000,20,19,female,Uasin Gishu,10000,9500,0,0,15,minor,no,bachelors,manual_labor,0,fire,137100
100000,57,111,female,Nairobi,20000,9000,2,2,5,minor,yes,high_school,tech,0,fire,128200
278700,23,74,male,Nairobi,20000,24500,1,1,23,minor,no,high_school,sales,0,flood,346300
100000,34,24,female,Mombasa,5000,9500,0,2,17,minor,yes,masters,sales,0,fire,104600
129400,23,81,male,Nakuru,50000,9000,0,2,16,major,no,bachelors,manual_labor,0,theft,193500
184900,21,133,female,Nakuru,50000,13000,0,3,7,minor,yes,high_school,sales,0,flood,251500
100000,25,114,female,Nyeri,20000,9000,1,1,4,minor,yes,high_school,farmer,0,fire,115600
128400,27,34,male,Kisumu,10000,14500,0,0,2,major,no,bachelors,sales,1,fire,214100
100000,64,75,male,Nairobi,20000,9000,0,1,11,minor,yes,high_school,farmer,0,theft,109700
207000,18,80,male,Nyeri,20000,18000,0,3,6,minor,no,bachelors,tech,0,fire,269000
100000,68,106,other,Kisii,20000,9000,0,1,12,minor,yes,high_school,manual_labor,0,theft,127700
100000,52,44,female,Nairobi,20000,9000,1,1,7,minor,?,bachelors,manual_labor,0,flood,128400
100000,31,26,female,Nairobi,10000,9500,2,2,5,major,yes,masters,farmer,0,fire,191200
112900,68,166,male,Turkana,10000,10500,0,2,14,minor,yes,bachelors,farmer,0,fire,168200
100000,27,49,male,Nyeri,10000,9500,0,2,13,total_loss,no,masters,manual_labor,0,flood,219400
100000,38,119,male,Eldoret,50000,7000,0,3,6,major,yes,masters,tech,0,fire,154400
256500,52,151,female,Mombasa,20000,22500,1,1,21,total_loss,yes,masters,tech,0,flood,552900
135300,20,109,male,Uasin Gishu,10000,12500,0,0,8,minor,no,bachelors,manual_labor,0,theft,202600
100000,55,47,female,Nairobi,20000,9000,0,1,0,minor,yes,high_school,manual_labor,0,fire,101800
110800,24,53,male,Uasin Gishu,20000,10000,2,2,13,minor,no,bachelors,tech,0,flood,186400
175600,18,179,female,Mombasa,5000,17000,1,1,15,minor,yes,bachelors,manual_labor,0,flood,268100
100000,20,19,male,Kisumu,50000,7000,0,0,19,minor,yes,high_school,sales,0,theft,115100
108500,62,115,male,Kisumu,50000,7500,1,2,20,minor,no,high_school,tech,0,theft,176400
146300,24,161,male,Eldoret,10000,14000,0,1,19,major,yes,bachelors,tech,0,flood,177900
100000,36,49,female,Nairobi,50000,7000,0,3,9,major,yes,masters,manual_labor,0,theft,154100
112500,40,78,female,Mombasa,20000,10000,0,2,7,major,no,masters,tech,0,flood,179900
100000,49,130,female,Nairobi,5000,9500,1,2,9,total_loss,yes,masters,sales,0,flood,231700
100000,43,45,male,Nairobi,20000,9000,0,2,19,minor,yes,bachelors,farmer,0,fire,123800
100000,52,167,female,Nyeri,5000,9500,0,2,5,total_loss,yes,masters,manual_labor,0,theft,204600
100000,64,32,male,Bungoma,5000,9500,0,2,14,minor,yes,bachelors,farmer,0,theft,138200
100000,66,170,female,Kakamega,10000,9500,1,3,17,minor,yes,masters,manual_labor,0,fire,161100
141400,69,53,female,Machakos,5000,13500,1,2,5,minor,yes,high_school,manual_labor,0,flood,172200
128400,34,35,female,Kiambu,20000,11500,1,2,23,total_loss,yes,bachelors,farmer,0,flood,316000
100000,46,121,female,Bungoma,20000,9000,0,1,4,minor,yes,masters,farmer,0,theft,129500
100000,64,152,female,Uasin Gishu,50000,7000,0,2,23,minor,yes,high_school,manual_labor,0,theft,118600
100000,32,94,male,Kilifi,10000,9500,0,3,0,major,yes,bachelors,farmer,0,flood,143700
100000,64,60,other,Kilifi,10000,9500,2,1,1,minor,yes,masters,farmer,0,fire,138100
140200,52,138,female,Nairobi,10000,13000,1,2,10,minor,yes,bachelors,farmer,0,flood,166300
100000,20,151,female,Kilifi,5000,9500,0,3,2,minor,yes,masters,tech,0,flood,147200
100000,50,143,female,Bungoma,20000,9000,0,1,4,minor,yes,bachelors,tech,0,fire,141200
124000,32,7,male,Kisii,50000,10500,0,1,21,major,no,high_school,manual_labor,1,fire,215800
100000,49,162,male,Mombasa,50000,7000,0,1,5,minor,no,bachelors,manual_labor,0,theft,115800
100000,38,92,female,Bungoma,10000,9500,0,1,4,minor,no,masters,manual_labor,0,flood,101200
100000,41,108,male,Bungoma,5000,9500,1,1,5,minor,yes,high_school,tech,0,theft,158400
212900,23,28,female,Kisii,20000,18500,1,3,12,total_loss,no,masters,sales,0,fire,512100
100000,50,50,male,Kakamega,50000,7000,1,3,19,minor,yes,masters,sales,0,flood,125300
100000,37,11,female,Nairobi,5000,9500,1,0,2,minor,no,high_school,farmer,0,flood,121600
100000,34,147,female,Kiambu,50000,7000,0,1,23,minor,yes,masters,farmer,0,fire,113400
100000,21,58,female,Nairobi,20000,9000,0,3,19,major,no,bachelors,farmer,0,theft,169000
333700,39,136,male,Kisumu,50000,23500,1,3,10,major,yes,masters,manual_labor,0,fire,604300
